x: 0, y: 7, z: 3, score: 6219.960037298943
x: 0, y: 7, z: 4, score: 6494.577574736023
x: 0, y: 7, z: 5, score: 3884.024177511573
x: 0, y: 7, z: 6, score: 3300.4447957560383
x: 0, y: 7, z: 7, score: 4150.98904801136
x: 0, y: 7, z: 8, score: 7159.512897029899
x: 0, y: 7, z: 9, score: 5231.235915360181
x: 0, y: 7, z: 10, score: 3497.138684884999
x: 0, y: 7, z: 11, score: 4953.183210513474
x: 0, y: 7, z: 12, score: 12599.29737905761
x: 0, y: 7, z: 13, score: 7587.05710183599
x: 0, y: 7, z: 14, score: 21592.29504099424
x: 0, y: 7, z: 15, score: 7837.863446605738
x: 0, y: 7, z: 16, score: 8150.686207234424
x: 0, y: 8, z: 0, score: 12194.036358167688
x: 0, y: 8, z: 1, score: 6900.366573544647
x: 0, y: 8, z: 2, score: 9017.886440607117
x: 0, y: 8, z: 3, score: 4968.471526660868
x: 0, y: 8, z: 4, score: 4853.340010320009
x: 0, y: 8, z: 5, score: 8295.83537867735
x: 0, y: 8, z: 6, score: 4211.311705998979
x: 0, y: 8, z: 7, score: 2602.3904915120224
x: 0, y: 8, z: 8, score: 2039.4727379729338
x: 0, y: 8, z: 9, score: 2044.3725709325356
x: 0, y: 8, z: 10, score: 3063.777151706877
x: 0, y: 8, z: 11, score: 17819.214964723105
x: 0, y: 8, z: 12, score: 6310.963692933659
x: 0, y: 8, z: 13, score: 7572.148013904524
x: 0, y: 8, z: 14, score: 5082.248186686583
x: 0, y: 8, z: 15, score: 6311.5170635989025
x: 0, y: 8, z: 16, score: 8661.644822687114
x: 1, y: 0, z: 0, score: 16796.970774175978
x: 1, y: 0, z: 1, score: 8513.512604010464
x: 1, y: 0, z: 2, score: 4542.463718358318
x: 1, y: 0, z: 3, score: 2903.8162030695216
x: 1, y: 0, z: 4, score: 3193.489927141744
x: 1, y: 0, z: 5, score: 4221.179403139777
x: 1, y: 0, z: 6, score: 3484.899582118318
x: 1, y: 0, z: 7, score: 4492.585637326756
x: 1, y: 0, z: 8, score: 5773.616028332236
x: 1, y: 0, z: 9, score: 4946.160586922848
x: 1, y: 0, z: 10, score: 6810.507355247347
x: 1, y: 0, z: 11, score: 5428.107183688861
x: 1, y: 0, z: 12, score: 3226.3858251006286
x: 1, y: 0, z: 13, score: 2607.478822514078
x: 1, y: 0, z: 14, score: 3932.0958515877755
x: 1, y: 0, z: 15, score: 5784.510444272982
x: 1, y: 0, z: 16, score: 8288.17472489571
x: 1, y: 1, z: 0, score: 13258.520516919467
x: 1, y: 1, z: 1, score: 8295.062711626031
x: 1, y: 1, z: 2, score: 5236.901486210321
x: 1, y: 1, z: 3, score: 3562.6304461225845
x: 1, y: 1, z: 4, score: 3298.833856293143
x: 1, y: 1, z: 5, score: 3130.6938983998025
x: 1, y: 1, z: 6, score: 2299.453399461563
x: 1, y: 1, z: 7, score: 2235.1271054036474
x: 1, y: 1, z: 8, score: 2831.7323399496545
x: 1, y: 1, z: 9, score: 3919.6252406683006
x: 1, y: 1, z: 10, score: 2430.3412190569707
x: 1, y: 1, z: 11, score: 2797.3619413581005
x: 1, y: 1, z: 12, score: 3721.139668096781
x: 1, y: 1, z: 13, score: 4662.110580011954
x: 1, y: 1, z: 14, score: 4851.500159914569
x: 1, y: 1, z: 15, score: 10420.944006335023
x: 1, y: 1, z: 16, score: 8286.08149083092
x: 1, y: 2, z: 0, score: 7477.694316061243
x: 1, y: 2, z: 1, score: 7021.500739316195
x: 1, y: 2, z: 2, score: 7670.018765088182
x: 1, y: 2, z: 3, score: 4569.894270580416
x: 1, y: 2, z: 4, score: 3876.1270621537005
x: 1, y: 2, z: 5, score: 3209.030493546583
x: 1, y: 2, z: 6, score: 3243.7855523519147
x: 1, y: 2, z: 7, score: 3171.4163696358482
x: 1, y: 2, z: 8, score: 3371.049539054479
x: 1, y: 2, z: 9, score: 2954.1127180204758
x: 1, y: 2, z: 10, score: 2312.3934953546645
x: 1, y: 2, z: 11, score: 3366.5622307990793
x: 1, y: 2, z: 12, score: 5091.678259246006
x: 1, y: 2, z: 13, score: 6421.669357201812
x: 1, y: 2, z: 14, score: 8124.690855566647
x: 1, y: 2, z: 15, score: 9839.466314942416
x: 1, y: 2, z: 16, score: 5168.221293540232
x: 1, y: 3, z: 0, score: 7736.841602460434
x: 1, y: 3, z: 1, score: 7916.42565362612
x: 1, y: 3, z: 2, score: 6531.292465202007
x: 1, y: 3, z: 3, score: 11788.616471277926
x: 1, y: 3, z: 4, score: 4089.3861621966307
x: 1, y: 3, z: 5, score: 2578.33872469954
x: 1, y: 3, z: 6, score: 3352.2754313408414
x: 1, y: 3, z: 7, score: 4299.599422351052
x: 1, y: 3, z: 8, score: 2977.8759748865455
x: 1, y: 3, z: 9, score: 2678.2431318914078
x: 1, y: 3, z: 10, score: 3256.8920982709137
x: 1, y: 3, z: 11, score: 6062.430289079047
x: 1, y: 3, z: 12, score: 6712.05808586574
x: 1, y: 3, z: 13, score: 7639.731836719152
x: 1, y: 3, z: 14, score: 6866.339653101535
x: 1, y: 3, z: 15, score: 6257.3673244716965
x: 1, y: 3, z: 16, score: 11062.851993621669
x: 1, y: 4, z: 0, score: 8059.249625828258
x: 1, y: 4, z: 1, score: 8203.681877421279
x: 1, y: 4, z: 2, score: 7775.835882824618
x: 1, y: 4, z: 3, score: 9344.913049437959
x: 1, y: 4, z: 4, score: 9141.93364133526
x: 1, y: 4, z: 5, score: 5698.301201715475
x: 1, y: 4, z: 6, score: 4455.962716569259
x: 1, y: 4, z: 7, score: 3698.0762385249814
x: 1, y: 4, z: 8, score: 3511.0178412238565
x: 1, y: 4, z: 9, score: 4152.947012554425
x: 1, y: 4, z: 10, score: 4715.666168937211
x: 1, y: 4, z: 11, score: 8475.446583581199
x: 1, y: 4, z: 12, score: 8249.272253897672
x: 1, y: 4, z: 13, score: 7604.2971941288415
x: 1, y: 4, z: 14, score: 9119.962001437183
x: 1, y: 4, z: 15, score: 7647.899706820451
x: 1, y: 4, z: 16, score: 17206.946427395593
x: 1, y: 5, z: 0, score: 18680.273033006197
x: 1, y: 5, z: 1, score: 8763.050810972474
x: 1, y: 5, z: 2, score: 7098.451262285612
x: 1, y: 5, z: 3, score: 6077.496806293558
x: 1, y: 5, z: 4, score: 9582.768807178862
x: 1, y: 5, z: 5, score: 10562.161527107728
x: 1, y: 5, z: 6, score: 4542.254009066395
x: 1, y: 5, z: 7, score: 4122.893678334421
x: 1, y: 5, z: 8, score: 3232.801228274394
x: 1, y: 5, z: 9, score: 3339.8906316746643
x: 1, y: 5, z: 10, score: 4558.390073083963
x: 1, y: 5, z: 11, score: 7877.121468758003
x: 1, y: 5, z: 12, score: 15368.58663570599
x: 1, y: 5, z: 13, score: 8133.159274430324
x: 1, y: 5, z: 14, score: 9391.78523137801
x: 1, y: 5, z: 15, score: 7431.285165407466
x: 1, y: 5, z: 16, score: 25385.931374848868
x: 1, y: 6, z: 0, score: 12186.46348156522
x: 1, y: 6, z: 1, score: 23583.157120980166
x: 1, y: 6, z: 2, score: 9103.342867178866
x: 1, y: 6, z: 3, score: 9168.37341940405
x: 1, y: 6, z: 4, score: 5340.173456709445
x: 1, y: 6, z: 5, score: 14488.131900244256
x: 1, y: 6, z: 6, score: 7232.088600369228
x: 1, y: 6, z: 7, score: 3909.660109088905
x: 1, y: 6, z: 8, score: 3094.1883193906374
x: 1, y: 6, z: 9, score: 2954.1573353289004
x: 1, y: 6, z: 10, score: 4016.3011888651254
x: 1, y: 6, z: 11, score: 8623.8950567835
x: 1, y: 6, z: 12, score: 8529.24531031963
x: 1, y: 6, z: 13, score: 8088.1661108021535
x: 1, y: 6, z: 14, score: 8409.908620574237
x: 1, y: 6, z: 15, score: 22762.2489092708
x: 1, y: 6, z: 16, score: 13615.894458789819
x: 1, y: 7, z: 0, score: 10842.059123450945
x: 1, y: 7, z: 1, score: 13599.590328732304
x: 1, y: 7, z: 2, score: 23261.23367148588
x: 1, y: 7, z: 3, score: 15228.858453121653
